S860;S840;S844;S848;S830a;S830b;S830c;S890;D802_806sb;D802_806rb;D802_806sc;D802_806rc;D808_810sb;D808_810rb;D818_820sa;D818_820ra;D820_822sa;D820_822ra;D816_824sb;D816_824rb;D824_826sb;D824_826rb;D824_828sc;D824_828rc;D828_830sa;D828_830ra;D854_856sb;D854_856rb;D832_858sa;D832_858ra;D832_858sb;D832_858rb;D832_858sc;D832_858rc;D858_864sb;D858_864rb;D858_834sa;D858_834ra;D858_834sb;D858_834rb;D858_834sc;D858_834rc;D834_860sa;D834_860ra;D834_860sb;D834_860rb;D834_860sc;D834_860rc;D860_836sa;D860_836ra;D860_836sb;D860_836rb;D860_836sc;D860_836rc;D836_840sa;D836_840ra;D836_840sb;D836_840rb;D862_838sb;D862_838rb;D842_844sa;D842_844ra;D844_846sb;D844_846rb;D844_846sc;D844_846rc;D846_848sb;D846_848rb
3511.739656;663.5566774;3874.977766;5025.783353;5425.574232;2504.907302;2464.912552;1061.754303;1184.918027;2064.516969;2002.922972;3766.534764;2675.858986;2938.81484;1695.734505;1790.540691;4669.677603;4324.101817;3010.390439;1138.902066;1667.792055;1935.436925;128.9691855;2979.16864;2159.74321;616.4701082;3626.150154;2406.450553;4922.689852;1061.685346;5066.34044;5033.851186;2040.83213;11051.07946;1137.571801;10308.82979;14694.88415;2149.168619;6238.960414;4551.40344;4320.196501;1759.921367;2452.363324;515.8916825;358.0320586;999.3857274;4017.35608;3911.656468;250.6815978;4777.173515;1790.654145;693.7028104;3740.177008;6803.000682;925.8563266;9636.977793;8923.470583;3328.819605;532.5852016;1858.266044;3821.754534;6444.601913;3041.214058;266.0319509;1929.734265;2380.181271;3845.92619;1935.702392
3658.621999;861.9966581;4267.732913;5410.52608;6665.892012;2458.047444;2609.55066;1309.933043;1324.87575;2271.912947;2149.039079;4167.087346;2799.021749;3323.332855;1767.004692;2417.106185;4704.267414;4356.122336;3696.773991;1233.40497;1942.08968;2129.796075;141.8624107;3750.216691;2346.600441;768.2276241;3771.742714;2607.585467;6241.979083;2002.05412;5145.725333;5540.545644;2339.191971;12349.69787;1230.644358;11332.5302;16387.56247;2325.263078;8581.818316;4809.251431;4809.873452;2469.74484;3274.30263;912.8148379;598.759687;1185.56648;4436.261552;5033.707851;269.1842243;5374.915597;1956.387197;806.8314383;4229.670703;6992.799559;1154.420073;10623.81511;9837.255347;3986.074399;716.0404424;2091.357105;4277.119214;7433.144847;3181.602739;299.8666174;2118.579218;2785.800543;5593.700785;2591.427041
3803.789719;1058.203245;4656.042823;5793.187556;7887.696886;2411.653267;2753.639882;1554.960661;1462.912864;2477.066945;2293.541455;4563.675566;2920.792067;3703.257217;1837.346246;3035.721285;4738.681638;4387.980258;4375.143769;1327.109549;2213.398444;2321.999675;154.6037153;4513.023566;2531.685714;918.5599558;3916.220088;2806.0891;7546.467072;2931.789751;5227.199131;6040.926645;2632.607234;13631.39416;1322.718426;12345.97188;18059.82914;2499.209219;10898.4712;5063.988524;5294.511305;3167.372525;4083.3939;1303.800939;836.8784552;1369.337283;4850.265804;6144.549067;287.328908;5965.794812;2120.278062;918.8117014;4713.797773;7180.194829;1380.398659;11598.37147;10739.66847;4636.199571;897.2357617;2322.098199;4727.704187;8413.56982;3320.340667;333.3067151;2305.645551;3186.295819;7321.172191;3239.196205
3946.385501;1251.059742;5037.684877;6172.727156;9081.732402;2365.95761;2896.905773;1795.261593;1598.069065;2678.857972;2435.623235;4954.317243;3040.473716;4076.291101;1906.294848;3642.410793;4772.832484;4419.594283;5041.492887;1419.616641;2480.223919;2510.969951;167.1171389;5263.468674;2714.113051;1066.754511;4059.024681;3000.645815;8828.753198;3845.575666;5311.806286;6531.837462;2918.605629;14887.70728;1413.294759;13344.02545;19701.47833;2669.932881;13175.81654;5314.059268;5771.590511;3846.706529;4873.213118;1685.881458;1071.083933;1549.493161;5256.918229;7238.575031;304.9366776;6546.379726;2281.405648;1029.069417;5189.874905;7363.984686;1602.499504;12554.50641;11625.02414;5275.630311;1075.041199;2549.314343;5171.1196;9381.817855;3456.602465;366.1549596;2490.043952;3579.1051;9018.188815;3875.032142
4085.552035;1439.449453;5410.436455;6548.104253;10238.74211;2321.193313;3039.073891;2029.260279;1729.384049;2876.165038;2574.477554;5337.030195;3157.370473;4440.13768;1973.386182;4233.199513;4806.632157;4450.883114;5691.814458;1510.527082;2741.071673;2695.629128;179.3267211;5997.431429;2892.996472;1212.098697;4199.598901;3189.93997;10081.43684;4738.095294;5400.591251;7010.121366;3194.714867;16110.17617;1501.874114;14321.56155;21302.30422;2836.359905;15400.75185;5557.908216;6238.59152;4501.648959;5637.336266;2056.087869;1300.07169;1724.82914;5653.768216;8310.180659;321.8285618;7113.238907;2438.848861;1137.030403;5655.218786;7542.967328;1819.430029;13486.07943;12487.63653;5900.801808;1248.326793;2771.830553;5604.975598;10333.82997;3589.562757;398.2140665;2670.88511;3961.666387;10674.59906;4494.957107
4220.432008;1622.255679;5772.074941;6918.278223;11349.46955;2277.593217;3179.869793;2255.381156;1855.897512;3067.867153;2709.297546;5709.832241;3270.786117;4792.50013;2038.15593;4804.112248;4839.992866;4481.765451;6322.101596;1599.441712;2994.447277;2874.899431;191.1565017;6710.79124;3067.45;1353.879923;4337.385154;3372.655926;11297.11738;5604.032064;5494.598479;7472.621629;3458.462659;17290.33978;1587.957245;15273.45079;22852.10099;2997.416133;17560.17459;5793.979917;6692.994784;5126.101919;6369.339326;2411.451643;1522.537297;1894.140245;6038.365157;9353.760867;337.825589;7662.940921;2591.686609;1242.120477;6107.146103;7715.94095;2029.897653;14386.95008;13321.81983;6508.14925;1415.962583;2988.471848;6026.882328;11265.54719;3718.396167;429.2867514;2847.279714;4331.417683;12280.25133;5094.99336
4350.168107;1798.361726;6120.377713;7282.20844;12404.65828;2235.390162;3319.019034;2472.048664;1976.649149;3252.843327;2839.276346;6070.7412;3380.024423;5131.081622;2100.139776;5351.173801;4872.826818;4512.159996;6928.347413;1685.961366;3238.856301;3047.703086;202.5305204;7399.42752;3236.587654;1491.385595;4471.825846;3547.478043;12468.39419;6438.069402;5594.872422;7916.181523;3707.376716;18419.73704;1671.044908;16194.56383;24340.6628;3152.027404;19640.98228;6020.718922;7132.280753;5713.967517;7062.79828;2749.004254;1737.176322;2056.221501;6408.258443;10363.71057;352.7487881;8192.054334;2738.997797;1343.765457;6542.973544;7881.703748;2232.609796;15250.97786;14121.88821;7094.107827;1576.818609;3198.063242;6434.449936;12172.91052;3842.277317;459.1757299;3018.338455;4685.796989;13824.99404;5671.163156
4473.903021;1966.650895;6453.122155;7638.854278;13395.05184;2194.816987;3456.247172;2677.687239;2090.678656;3429.972569;2963.607089;6417.774891;3484.38917;5453.585332;2158.873402;5870.408973;4905.046219;4541.98545;7506.545023;1769.686882;3472.804315;3212.962317;213.3728168;8059.21968;3399.523456;1623.903122;4602.363385;3713.090681;13587.86665;7234.890739;5702.457532;8337.64432;3938.984749;19489.90691;1750.637858;17079.77127;25757.78384;3299.119558;21630.07238;6236.569782;7553.929878;6259.147859;7711.28911;3065.777175;1942.684337;2209.867933;6760.997463;11334.42469;366.4191875;8697.147712;2879.861333;1441.39116;6960.017796;8039.053919;2426.273878;16072.02231;14882.15585;7655.112728;1729.764909;3399.429753;6825.28857;13051.861;3960.380832;487.6837177;3183.172021;5022.242307;15298.67559;6219.488754
4590.779437;2126.006491;6768.085646;7987.175112;14311.39377;2156.106534;3591.279763;2870.721322;2197.025728;3598.133889;3081.48291;6748.951132;3583.184133;5757.714434;2213.892491;6357.842569;4936.563276;4571.160515;8052.687538;1850.219099;3694.796888;3369.59935;223.6074306;8686.047131;3555.371428;1750.719912;4728.440176;3868.178201;14648.13414;7989.179501;5818.398262;8733.853291;4150.814468;20492.38832;1826.236851;17923.94377;27093.25828;3437.618437;23514.34239;6439.977048;7955.42261;6755.54505;8308.387801;3358.801878;2137.75691;2353.874566;7094.131608;12260.29813;378.657816;9174.789624;3013.356124;1534.423403;7355.595547;8186.789657;2609.597318;16843.94294;15596.93695;8187.599143;1873.671523;3591.396397;7197.008374;13898.33964;4071.881334;514.6134302;3340.891102;5338.191638;16691.14438;6735.992411
4699.940044;2275.311816;7063.045569;8326.130317;15144.42763;2119.491641;3723.842364;3049.575349;2294.730062;3756.206298;3192.096942;7062.287744;3675.713092;6041.1721;2264.732727;6809.499392;4967.290197;4599.603892;8562.768073;1927.158853;3903.339591;3516.53641;233.1584014;9275.789286;3703.24559;1871.123371;4849.498626;4011.424962;15641.79605;8695.619118;5943.739064;9101.651708;4340.393584;21418.72021;1897.342642;18721.95193;28336.88028;3566.449882;25280.68981;6629.38527;8334.2394;7197.061198;8847.670332;3625.109836;2321.089613;2487.036425;7405.210271;13135.72582;389.2857022;9621.548634;3138.561077;1622.288004;7727.023483;8323.70916;2781.287537;17560.59929;16260.54567;8688.00226;2007.408491;3772.788192;7547.219497;14708.28746;4175.953447;539.7675831;3490.606387;5631.082984;17992.24883;7216.696384
